Date,Checker,Page,Account_No,Cust_Name_Correct,Cust_Address_Correct,Beyond_Eligibility,Marketing_Preference,Marketing_Consent_Correct,GSP,Fuel,Tariff,Meter_Type,Payment_Method,NewSC_PIN,NewSC_PriceFile,NewR1_PIN,NewR1_PriceFile,NewR2_PIN,NewR2_PriceFile,NewR3_PIN,NewR3_PriceFile,NewR4_PIN,NewR4_PriceFile,New_SC_Rates_Correct,OldAnnualCost,NewAnnualCost,ChangeDifference,ChangeAmountCorrect,AreFrontPageCalculationCorrect,PIN_Personal_Projection,Calculated_Personal_Projection,Difference,SimilarTariff,SimilarMeter,Calculated_Similar_Projection,Calculated_Similar_Saving,Similar_Saving_Correct,OverallTariff,OverallMeter,Calculated_Overall_Projection,Calculated_Overall_Saving,Overall_Saving_Correct,PresentmentCorrect,Incr_Decr_Check,Creative,PassFailUnsure,Comments
"","","",21411887,"","",PROSPECTIVE,POST,"",_M,Gas,Simpler Energy,Standard,On Demand,0.3694,0.3631,0.0695,0.0664,N/A,N/A,N/A,N/A,N/A,N/A,"",1184.74,1236.99,52.25,"","",1236.99,1185.38,95.83%,Simpler Energy,Standard,1116.26,-69.12000000000012,Yes,1 Year Fixed Loyalty,1 Year Fixed Loyalty,1168.54,-16.840000000000146,No,"","","","",""
"","","",23035190,"","",PROSPECTIVE,OPTED OUT,"",_M,Electric,Simpler Energy - Economy 7,Economy 7,On Demand,0.7613,0.7466,0.2886,0.2739,0.2114,0.1967,0.0000,"",0.0000,"","",1197.46,1255.30,57.83999999999992,"","",1255.30,1197.37,95.39%,Simpler Energy,Standard,1101.1,96.26999999999998,Yes,1 Year Fixed Loyalty,1 Year Fixed Loyalty,1068.2,129.16999999999985,No,"","","","",""
"","","",23035190,"","",PROSPECTIVE,OPTED OUT,"",_M,Gas,Simpler Energy,Standard,On Demand,0.3694,0.3631,0.0695,0.0664,N/A,N/A,N/A,N/A,N/A,N/A,"",686.71,715.31,28.59999999999991,"","",715.31,687.04,96.05%,Simpler Energy,Standard,642.69,-44.34999999999991,Yes,1 Year Fixed Loyalty,1 Year Fixed Loyalty,667.21,-19.829999999999927,No,"","","","",""
"","","",25816379,"","",PROSPECTIVE,POST,"",_M,Electric,Simpler Energy - 3 Rate (Heating),3 Rate (Heating),On Demand,0.7613,0.7466,0.2973,0.2826,0.2369,0.2222,0.2464,0.2317,0.0000,"","",1214.39,1277.09,62.69999999999982,"","",1277.09,1214.39,95.09%,Simpler Energy - 3 Rate (Heating),3 Rate (Heating),1143.57,70.82000000000016,Yes,1 Year Fixed Loyalty,1 Year Fixed Loyalty,1145.62,68.77000000000021,No,"","","","",""
"","","",25816379,"","",PROSPECTIVE,POST,"",_M,Gas,Simpler Energy,Standard,On Demand,0.3694,0.3631,0.0695,0.0664,N/A,N/A,N/A,N/A,N/A,N/A,"",1929.96,2017.58,87.61999999999989,"","",2017.58,1931.05,95.71%,Simpler Energy,Standard,1824.87,-106.18000000000006,Yes,1 Year Fixed Loyalty,1 Year Fixed Loyalty,1918.71,-12.339999999999918,No,"","","","",""
"","","",22271532,"","",PROSPECTIVE,OPTED OUT,"",_M,Electric,Simpler Energy - Economy 7,Economy 7,On Demand,0.7613,0.7466,0.2886,0.2739,0.2114,0.1967,0.0000,"",0.0000,"","",1521.14,1596.35,75.20999999999981,"","",1596.35,1521,95.28%,Simpler Energy,Standard,1382.88,138.1199999999999,Yes,1 Year Fixed Loyalty,1 Year Fixed Loyalty,1345.26,175.74,No,"","","","",""
"","","",22271532,"","",PROSPECTIVE,OPTED OUT,"",_M,Gas,Simpler Energy,Standard,On Demand,0.3694,0.3631,0.0695,0.0664,N/A,N/A,N/A,N/A,N/A,N/A,"",870.78,908.12,37.34000000000003,"","",908.12,871.23,95.94%,Simpler Energy,Standard,817.73,-53.5,Yes,1 Year Fixed Loyalty,1 Year Fixed Loyalty,852.5,-18.730000000000018,No,"","","","",""
"","","",7004201,"","",PROSPECTIVE,OPTED OUT,"",_B,Electric,Simpler Energy - Economy 7,Economy 7,On Demand,0.6431,0.6284,0.2990,0.2843,0.2017,0.1870,0.0000,"",0.0000,"","",1105.76,1159.70,53.940000000000055,"","",1159.70,1105.64,95.34%,Simpler Energy,Standard,1004.24,101.40000000000009,Yes,1 Year Fixed Loyalty,1 Year Fixed Loyalty,985.48,120.16000000000008,No,"","","","",""
"","","",7004201,"","",PROSPECTIVE,OPTED OUT,"",_B,Gas,Simpler Energy,Standard,On Demand,0.3694,0.3631,0.0683,0.0651,N/A,N/A,N/A,N/A,N/A,N/A,"",1411.21,1475.38,64.17000000000007,"","",1475.38,1411.22,95.65%,Simpler Energy,Standard,1328.73,-82.49000000000001,Yes,1 Year Fixed Loyalty,1 Year Fixed Loyalty,1399.5,-11.720000000000027,No,"","","","",""
"","","",24388338,"","",PROSPECTIVE,POST,"",_B,Electric,Simpler Energy - Economy 7,Economy 7,On Demand,0.6431,0.6284,0.2990,0.2843,0.2017,0.1870,0.0000,"",0.0000,"","",560.67,583.84,23.170000000000073,"","",583.84,560.62,96.02%,Simpler Energy,Standard,499.62,61,Yes,1 Year Fixed Loyalty,1 Year Fixed Loyalty,485.46,75.16000000000003,No,"","","","",""
