, ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,,
,,,ID SP,DESCRIPTION,FUEL,CD GZ,MPAN,METER CATEGORY,ETFV DT,RATE CD,RATE,SC DESCRIPTION,SC EX VAT,SC INC VAT,Change,UR1 DESCRIPTION,UR 1 EX VAT,UR 1 INC VAT,UR2 DESCRIPTION,UR 2 EX VAT,UR 2 INC VAT,UR3 DESCRIPTION,UR 3 EX VAT,UR 3 INC VAT,UR4 DESCRIPTION,UR 4 EX VAT,UR 4 INC VAT,,RATE TYPE
1,Economy 7_L,Economy 7_L1,,Economy 7,Electric,_L,,Economy 7,,,Direct Debit,Standing Charge,0.6534,0.6861,,Peak,0.2629,0.276,Off peak ,0.1694,0.1779,,,,,,,,Live Run SVT Direct Debit 
1,Economy 7_M,Economy 7_M1,,Economy 7,Electric,_M,,Economy 7,,,Direct Debit,Standing Charge,0.6484,0.6808,,Peak,0.2483,0.2607,Off peak ,0.1775,0.1864,,,,,,,,Live Run SVT Direct Debit 
1,Economy 10_A,Economy 10_A1,,Economy 10,Electric,_A,,Economy 10,,,Direct Debit,Standing Charge,0.4876,0.512,,Peak,0.2621,0.2752,Off peak ,0.2025,0.2126,,,,,,,,Live Run SVT Direct Debit 
1,Economy 10_B,Economy 10_B1,,Economy 10,Electric,_B,,Economy 10,,,Direct Debit,Standing Charge,0.5389,0.5658,,Peak,0.2465,0.2588,Off peak ,0.1942,0.2039,,,,,,,,Live Run SVT Direct Debit 
1,Economy 10_C,Economy 10_C1,,Economy 10,Electric,_C,,Economy 10,,,Direct Debit,Standing Charge,0.3946,0.4143,,Peak,0.2589,0.2718,Off peak ,0.2124,0.223,,,,,,,,Live Run SVT Direct Debit 
1,Economy 10_D,Economy 10_D1,,Economy 10,Electric,_D,,Economy 10,,,Direct Debit,Standing Charge,0.6438,0.676,,Peak,0.2629,0.276,Off peak ,0.2047,0.2149,,,,,,,,Live Run SVT Direct Debit 
1,Economy 10_E,Economy 10_E1,,Economy 10,Electric,_E,,Economy 10,,,Direct Debit,Standing Charge,0.6052,0.6355,,Peak,0.2455,0.2578,Off peak ,0.1969,0.2067,,,,,,,,Live Run SVT Direct Debit 
1,Economy 10_F,Economy 10_F1,,Economy 10,Electric,_F,,Economy 10,,,Direct Debit,Standing Charge,0.683,0.7172,,Peak,0.2386,0.2505,Off peak ,0.1914,0.201,,,,,,,,Live Run SVT Direct Debit 
1,Economy 10_G,Economy 10_G1,,Economy 10,Electric,_G,,Economy 10,,,Direct Debit,Standing Charge,0.4928,0.5174,,Peak,0.2599,0.2729,Off peak ,0.2001,0.2101,,,,,,,,Live Run SVT Direct Debit 
1,Economy 10_P,Economy 10_P1,,Economy 10,Electric,_P,,Economy 10,,,Direct Debit,Standing Charge,0.5986,0.6285,,Peak,0.2591,0.2721,Off peak ,0.2014,0.2115,,,,,,,,Live Run SVT Direct Debit 
1,Economy 10_N,Economy 10_N1,,Economy 10,Electric,_N,,Economy 10,,,Direct Debit,Standing Charge,0.6194,0.6504,,Peak,0.2494,0.2619,Off peak ,0.1939,0.2036,,,,,,,,Live Run SVT Direct Debit 
1,Economy 10_J,Economy 10_J1,,Economy 10,Electric,_J,,Economy 10,,,Direct Debit,Standing Charge,0.5538,0.5815,,Peak,0.2645,0.2777,Off peak ,0.2002,0.2102,,,,,,,,Live Run SVT Direct Debit 
1,Economy 10_H,Economy 10_H1,,Economy 10,Electric,_H,,Economy 10,,,Direct Debit,Standing Charge,0.614,0.6447,,Peak,0.2564,0.2692,Off peak ,0.1986,0.2085,,,,,,,,Live Run SVT Direct Debit 
1,Economy 10_K,Economy 10_K1,,Economy 10,Electric,_K,,Economy 10,,,Direct Debit,Standing Charge,0.6053,0.6356,,Peak,0.2591,0.2721,Off peak ,0.194,0.2037,,,,,,,,Live Run SVT Direct Debit 
1,Economy 10_L,Economy 10_L1,,Economy 10,Electric,_L,,Economy 10,,,Direct Debit,Standing Charge,0.6534,0.6861,,Peak,0.259,0.272,Off peak ,0.1882,0.1976,,,,,,,,Live Run SVT Direct Debit 
1,Economy 10_M,Economy 10_M1,,Economy 10,Electric,_M,,Economy 10,,,Direct Debit,Standing Charge,0.6484,0.6808,,Peak,0.2389,0.2508,Off peak ,0.1982,0.2081,,,,,,,,Live Run SVT Direct Debit 
1,Domestic Economy_P,Domestic Economy_P1,,Domestic Economy,Electric,_P,,Domestic Economy,,,Direct Debit,Standing Charge,0.5986,0.6285,,Peak,0.2712,0.2848,Off peak ,0.1737,0.1824,,,,,,,,Live Run SVT Direct Debit 
1,Domestic Economy_N,Domestic Economy_N1,,Domestic Economy,Electric,_N,,Domestic Economy,,,Direct Debit,Standing Charge,0.6194,0.6504,,Peak,0.26,0.273,Off peak ,0.1687,0.1771,,,,,,,,Live Run SVT Direct Debit 
1,Smart Economy 9_A,Smart Economy 9_A1,,Smart Economy 9,Electric,_A,,Smart Economy 9,,,Direct Debit,Standing Charge,0.4876,0.512,,Peak,0.2739,0.2876,Off peak ,0.2034,0.2136,,,,,,,,Live Run SVT Direct Debit 
1,Smart Economy 9_B,Smart Economy 9_B1,,Smart Economy 9,Electric,_B,,Smart Economy 9,,,Direct Debit,Standing Charge,0.5389,0.5658,,Peak,0.255,0.2678,Off peak ,0.1963,0.2061,,,,,,,,Live Run SVT Direct Debit 
1,Smart Economy 9_C,Smart Economy 9_C1,,Smart Economy 9,Electric,_C,,Smart Economy 9,,,Direct Debit,Standing Charge,0.3946,0.4143,,Peak,0.2611,0.2742,Off peak ,0.2179,0.2288,,,,,,,,Live Run SVT Direct Debit 
1,Smart Economy 9_D,Smart Economy 9_D1,,Smart Economy 9,Electric,_D,,Smart Economy 9,,,Direct Debit,Standing Charge,0.6438,0.676,,Peak,0.2713,0.2849,Off peak ,0.2078,0.2182,,,,,,,,Live Run SVT Direct Debit 
